name,model,display_resolution,OS,processor,Chipset,GPU,memory,storage,ram,primary_camera,secondary_camera,loud_speaker,audio_jack,sensors,battery,colors,price,img_url,,,
Acer,Liquid Z520,5.0 inches (~57.1% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,,,
Acer,Liquid Z220,4.0 inches (~56.8% screen-to-body ratio),Android 5.0 (Lollipop),Dual-core 1.2 GHz Cortex-A7,Qualcomm Snapdragon 200,Adreno 302,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer,Removable Li-Ion 1300 mAh battery,Black| White,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg,,,
Acer,Liquid M220,4.0 inches (~57.0% screen-to-body ratio),Microsoft Windows Phone 8.1,Dual-core 1.2 GHz Cortex-A7,Qualcomm MSM8210 Snapdragon 200,Adreno 302,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM - Liquid M220,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 1300 mAh battery,Mystic Black| Pure White,80,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m220.jpg,,,
Acer,Liquid Z410,4.5 inches (~61.5% screen-to-body ratio),Android 4.4.4 (KitKat),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6732M,Mali-T760MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes dual speakers,Yes,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Black,130,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg,,,
Acer,Liquid Jade S,5.0 inches (~69.8% screen-to-body ratio),Android 4.4.4 (KitKat)| upgradable to 5.1 (Lollipop),Octa-core 1.5 GHz Cortex-A53,Mediatek MT6752M,Mali-T760MP2,microSD  up to 32 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,5 MP| f/2.2,Yes,Yes,Accelerometer| proximity| compass,Non-removable Li-Ion 2300 mAh battery,Black| White| Red| Pink,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg,,,
Acer,Liquid Z500,5.0 inches (~65.1% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes with stereo speakers,Yes,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Aquamarine Green| Sandy Silver| Titanium Black,150,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,,,
Acer,Liquid X1,5.7 inches (~72.7% screen-to-body ratio),Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A7,Mediatek MT6592,Mali-450MP4,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity| compass,Removable Li-Ion 2700 mAh battery,Graphite black| Wine red,260,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg,,,
Acer,Liquid Jade,5.0 inches (~71.1% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (uses SIM 2 slot),8 GB,1 GB RAM - Liquid Jade,13 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity| compass,Non-removable Li-Ion 2100 mAh battery,Black| White| Green| Pink| Gray,180,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg,,,
Acer,Liquid E700,5.0 inches (~64.1% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM or 4 GB| 1 GB RAM,8 MP| autofocus| LED flash,2 MP| LED flash,Yes with stereo speakers,Yes,Accelerometer| proximity,Non-removable Li-Ion 3500 mAh battery,Titan Black| Burgundy Red,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg,,,
Acer,Liquid E600,5.0 inches (~65.1% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP or VGA,Yes with stereo speakers,Yes,Accelerometer| proximity,Non-removable Li-Ion 2500 mAh battery,Black| Green| Dark red,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg,,,
